# LanguageTool-verified lower-case words that dictionary.dict calls nouns.
# Generated by .archive/german-language/scripts/derive_pos_fixes.py and
# consumed by scripts/fix_german_pos_flags.py, which *appends* the reading.
# word<TAB>part-of-speech
abendfüllende	adjective
abfällt	verb
abgebaut	verb
abgedankt	verb
abgedruckt	verb
abgeführt	verb
abgehängt	verb
abgeklärt	verb
abgekürzt	verb
abgelehnt	verb
abgelöscht	verb
abgelöst	verb
abgereist	verb
abgesagt	verb
abgeschmeckt	verb
abgesetzt	verb
abgespaltene	adjective
abgestellt	verb
abgetragene	adjective
abhängt	verb
abläuft	verb
abrupt	verb
abseits	adverb
abstieg	verb
absurdum	adverb
abwechselnd	adverb
abzweigt	verb
ach	adverb
ad	adverb
adäquat	verb
aerobe	adjective
aktive	adjective
akzeptable	adjective
allesamt	verb
allzu	adverb
alpha	adverb
alsdann	adverb
alters	adverb
anaerobe	adjective
anbelangt	verb
anbot	verb
andere	adjective
andernfalls	adverb
anderseits	adverb
andersherum	adverb
anderthalb	adverb
anfing	adverb
angebaut	verb
angeborene	adjective
angebracht	verb
angefügt	verb
angehäuft	verb
angehört	verb
angekündigt	verb
angelehnt	verb
angenehm	adverb
angepasst	verb
angepflanzt	verb
angesehene	adjective
angesetzt	verb
angesichts	adverb
angesteckt	verb
angestellt	verb
angestrebt	verb
angetan	adverb
angewöhnt	verb
angezeigt	verb
angibt	verb
anheim	adverb
anklammere	adjective
anlehnt	verb
anonyme	adjective
anschloss	verb
antrat	verb
antritt	verb
anzieht	verb
anzog	adverb
art	adverb
atomare	adjective
audiophile	adjective
auffiel	verb
aufgab	verb
aufgeführt	verb
aufgehängt	verb
aufgekauft	verb
aufgeklärt	verb
aufgelacht	verb
aufgelegt	verb
aufgelöst	verb
aufgeschraubt	verb
aufgesetzt	verb
aufgestellt	verb
aufgeteilt	verb
aufgezählt	verb
aufgreift	verb
aufliegt	verb
aufm	adverb
aufnahm	verb
aufriss	adverb
aufstieg	verb
auftrat	verb
auftritt	verb
aufwuchs	verb
ausdrückt	verb
ausgebaut	verb
ausgebracht	verb
ausgeführt	verb
ausgefüllt	verb
ausgeht	verb
ausgelegt	verb
ausgelost	verb
ausgelöscht	verb
ausgelöst	verb
ausgeprägt	verb
ausgestellt	verb
ausgestreckt	verb
ausgesucht	verb
ausgetauscht	verb
ausgetilgt	verb
ausgewählt	verb
ausgezahlt	verb
ausging	verb
ausreicht	verb
aussagt	verb
ausschied	adverb
aussprach	verb
aussteigt	verb
auswirft	verb
auswirkt	verb
auszieht	verb
autonom	adverb
autonome	adjective
baby	adverb
band	adverb
beabsichtigt	verb
beachtenswert	verb
beaufsichtigt	verb
beauftragt	verb
bedacht	verb
bedarf	verb
bedürftige	adjective
beeindruckt	verb
befahl	adverb
befahrene	adjective
befand	verb
befände	adjective
beglaubigt	verb
begünstigt	verb
behaart	verb
beherrscht	verb
beiderseits	adverb
beigesetzt	verb
bekam	verb
bekräftigt	verb
belässt	verb
bereitgestellt	verb
berüchtigt	verb
berühmt	verb
beschlagnahmt	verb
beschädigt	verb
besessene	adjective
besichtigt	verb
besondere	adjective
bestieg	verb
bestimmungsgemäß	adverb
bestritt	verb
besucht	verb
betraf	adverb
betrat	verb
betrifft	verb
betrug	verb
bewarb	adverb
bewerbe	adjective
bezwang	adverb
bin	adverb
bist	adverb
blaugrün	adverb
bleibe	adjective
blickt	verb
blind	adverb
bordeigene	adjective
boreale	adjective
brach	adverb
bricht	verb
britische	adjective
bronzene	adjective
danach	adverb
dargelegt	verb
darstelle	adjective
dasselbe	adjective
dato	adverb
dauert	verb
davor	adverb
deckungsgleich	adverb
defizitär	adjective
dehnt	verb
demgemäß	adverb
demokratische	adjective
dennoch	adverb
dergestalt	verb
derweil	adverb
deutsche	adjective
dieselbe	adjective
disjunkt	verb
diverse	adjective
dorthin	adverb
down	adverb
dran	adverb
dreieinhalb	adverb
dreifach	adverb
dreifache	adjective
droht	verb
dunkelgrau	adverb
dunkle	adjective
durchaus	adverb
durchgereicht	verb
durchgesetzt	verb
durchsetzt	verb
dünne	adjective
dürfe	adjective
ebenda	adverb
egalitäre	adjective
ehe	adverb
ehemalige	adjective
ehrenvoll	adverb
ehrgeizige	adjective
ehrt	verb
eigene	adjective
eigens	adverb
eigenständige	adjective
eindringt	verb
eineinhalb	adverb
eingebaut	verb
eingefasst	verb
eingefügt	verb
eingeht	verb
eingeklagt	verb
eingepfarrt	verb
eingepresst	verb
eingerahmt	verb
